region,date,p50_pcwd,p25_pcwd,p75_pcwd,.group
Bern,2021-05-01,0,0,0,1
Bern,2021-05-02,0.9000847622533532,0.22037938259781692,1.8439814123813454,1
Bern,2021-05-03,2.759524664290409,1.9186509055688008,4.1304996355691825,1
Bern,2021-05-04,2.5759835214352425,1.232021758050629,4.839485046193515,1
Bern,2021-05-05,0,0,4.323778996475384,1
Bern,2021-05-06,0,0,4.928958359004845,1
Bern,2021-05-07,0,0,5.480449839869582,1
Bern,2021-05-08,1.6798749048701154,0,5.5658223917209355,1
Bern,2021-05-09,1.1161583323275202,0,6.474474238782994,1
Bern,2021-05-10,0,0,0,1
Bern,2021-05-11,0,0,0,1
Bern,2021-05-12,0,0,1.2957792449726402,1
Bern,2021-05-13,0.4378905386423906,0,1.7221918307206252,1
Bern,2021-05-14,0.1325643778328981,0,2.133904898797703,1
Bern,2021-05-15,0,0,0,1
Bern,2021-05-16,0,0,0,1
Bern,2021-05-17,0,0,0.8491776334075409,1
Bern,2021-05-18,0,0,0,1
Bern,2021-05-19,0,0,0.9666233142886147,1
Bern,2021-05-20,0,0,0.8778740823750651,1
Bern,2021-05-21,0,0,0,1
Bern,2021-05-22,0,0,0.9556489952017637,1
Bern,2021-05-23,0,0,0.3351289056654243,1
Bern,2021-05-24,0,0,0,1
Bern,2021-05-25,0,0,1.3015854735170833,1
Bern,2021-05-26,0,0,2.5812401128156792,1
Bern,2021-05-27,0,0,1.2731298576956762,1
Bern,2021-05-28,0,0,4.514415794891215,1
Bern,2021-05-29,0,0,7.347853314456369,1
Bern,2021-05-30,0.004561050646716636,0,10.349951138859248,1
Bern,2021-05-31,0,0,10.960626042220456,1
Bern,2021-06-01,0,0,11.832679175369877,1
Bern,2021-06-02,0,0,12.34427039839491,1
Bern,2021-06-03,0,0,12.819285249971353,1
Bern,2021-06-04,0,0,11.57968500243032,1
Bern,2021-06-05,0,0,0,1
Bern,2021-06-06,0,0,1.880934454964052,1
Bern,2021-06-07,0,0,0.6222106629202842,1
Bern,2021-06-08,0,0,2.0199177059011624,1
Bern,2021-06-09,0,0,0,1
Bern,2021-06-10,0,0,3.4708406033230186,1
Bern,2021-06-11,0,0,7.243222220859082,1
Bern,2021-06-12,0,0,10.023794636857836,1
Bern,2021-06-13,0,0,7.96324201462712,1
Bern,2021-06-14,0,0,0,1
Bern,2021-06-15,0,0,0,1
Bern,2021-06-16,0,0,0,1
